Cuenta de mayor	Cuenta de mayor	Acreedor	Asignación	Nº documento	Clase de documento	Fe.contabilización	Fecha compensación	Fecha de pago	Fecha de documento	Clave contabiliz.	Importe en moneda local	Moneda local	Doc.compensación	Centro de beneficio	Segmento	Texto	Referencia a factura
1131101002	2125301001		0000000001	3000008871	SA	42013	42013	42013	42013	11	-0,3	USD	3000008872		1000		3000008871
1131101002	2125301001		0000000001	3000008872	SA	42013	42013	42013	42013	07	0,3	USD	3000008872		1000		3000008872
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	17	-861,22	USD	3000046010	ORD014	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	17	-7758,84	USD	3000046010	ORD014	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	17	-42592,62	USD	3000046010	ORD041	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	17	-31790,86	USD	3000046010	ORD042	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	17	-8419,82	USD	3000046010	ORD045	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	17	-33419,32	USD	3000046010	ORD051	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	17	-43310,43	USD	3000046010	ORD052	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	17	-134503,98	USD	3000046010	ORD054	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	17	-201493,37	USD	3000046010	ORD054	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	07	861,22	USD	3000046010	ORD014	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	07	7758,84	USD	3000046010	ORD014	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	07	42592,62	USD	3000046010	ORD041	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	07	31790,86	USD	3000046010	ORD042	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	07	8419,82	USD	3000046010	ORD045	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	07	33419,32	USD	3000046010	ORD051	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	07	43310,43	USD	3000046010	ORD052	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	07	134503,98	USD	3000046010	ORD054	1000		3000046010
1131101002	2125301001		0000000001	3000046010	SA	42248	42248	42248	42248	07	201493,37	USD	3000046010	ORD054	1000		3000046010
1131101002	2125301001		0000000001	3000046014	SA	42248	42248	42248	42248	17	-19189,49	USD	3000046014	ORD051	1000		3000046014
1131101002	2125301001		0000000001	3000046014	SA	42248	42248	42248	42248	07	19189,49	USD	3000046014	ORD051	1000		3000046014
1131101002	2125301001		0000000001	3000046038	SA	42248	42248	42248	42248	17	-5416,19	USD	3000046038	ORD014	1000		3000046038
1131101002	2125301001		0000000001	3000046038	SA	42248	42248	42248	42248	17	-12982,07	USD	3000046038	ORD041	1000		3000046038
1131101002	2125301001		0000000001	3000046038	SA	42248	42248	42248	42248	17	-33361,39	USD	3000046038	ORD051	1000		3000046038
1131101002	2125301001		0000000001	3000046038	SA	42248	42248	42248	42248	17	-32038,79	USD	3000046038	ORD052	1000		3000046038
1131101002	2125301001		0000000001	3000046038	SA	42248	42248	42248	42248	17	-277916,8	USD	3000046038	ORD054	1000		3000046038
1131101002	2125301001		0000000001	3000046038	SA	42248	42248	42248	42248	07	5416,19	USD	3000046038	ORD014	1000		3000046038
1131101002	2125301001		0000000001	3000046038	SA	42248	42248	42248	42248	07	12982,07	USD	3000046038	ORD041	1000		3000046038
1131101002	2125301001		0000000001	3000046038	SA	42248	42248	42248	42248	07	33361,39	USD	3000046038	ORD051	1000		3000046038
1131101002	2125301001		0000000001	3000046038	SA	42248	42248	42248	42248	07	32038,79	USD	3000046038	ORD052	1000		3000046038
1131101002	2125301001		0000000001	3000046038	SA	42248	42248	42248	42248	07	277916,8	USD	3000046038	ORD054	1000		3000046038
1131101002	2125301001		0000000001	3000046117	SA	42248	42248	42248	42248	17	-9566,91	USD	3000046117	ORD014	1000		3000046117
1131101002	2125301001		0000000001	3000046117	SA	42248	42248	42248	42248	17	-213258,66	USD	3000046117	ORD051	1000		3000046117
1131101002	2125301001		0000000001	3000046117	SA	42248	42248	42248	42248	17	-450335,61	USD	3000046117	ORD054	1000		3000046117
1131101002	2125301001		0000000001	3000046117	SA	42248	42248	42248	42248	07	9566,91	USD	3000046117	ORD014	1000		3000046117
1131101002	2125301001		0000000001	3000046117	SA	42248	42248	42248	42248	07	213258,66	USD	3000046117	ORD051	1000		3000046117
1131101002	2125301001		0000000001	3000046117	SA	42248	42248	42248	42248	07	450335,61	USD	3000046117	ORD054	1000		3000046117
1131101002	2125301001		0000000001	3000046125	SA	42248	42248	42248	42248	17	-17,09	USD	3000046125	ORD014	1000		3000046125
1131101002	2125301001		0000000001	3000046125	SA	42248	42248	42248	42248	07	17,09	USD	3000046125	ORD014	1000		3000046125
1131101002	2125301001		0000000001	3000046348	SA	42248	42248	42248	42248	17	-9351,58	USD	3000046348	ORD014	1000		3000046348
1131101002	2125301001		0000000001	3000046348	SA	42248	42248	42248	42248	17	-166398,4	USD	3000046348	ORD051	1000		3000046348
1131101002	2125301001		0000000001	3000046348	SA	42248	42248	42248	42248	17	-540176,9	USD	3000046348	ORD054	1000		3000046348
1131101002	2125301001		0000000001	3000046348	SA	42248	42248	42248	42248	07	9351,58	USD	3000046348	ORD014	1000		3000046348
1131101002	2125301001		0000000001	3000046348	SA	42248	42248	42248	42248	07	166398,4	USD	3000046348	ORD051	1000		3000046348
1131101002	2125301001		0000000001	3000046348	SA	42248	42248	42248	42248	07	540176,9	USD	3000046348	ORD054	1000		3000046348
1131101002	2125301001		0000000001	3000047341	SA	42248	42248	42248	42248	17	-545,13	USD	3000047341	EXT049	1000		3000047341
1131101002	2125301001		0000000001	3000047341	SA	42248	42248	42248	42248	17	-553,11	USD	3000047341	ORD001	1000		3000047341
1131101002	2125301001		0000000001	3000047341	SA	42248	42248	42248	42248	17	-3361,97	USD	3000047341	ORD014	1000		3000047341
1131101002	2125301001		0000000001	3000047341	SA	42248	42248	42248	42248	17	-25500,15	USD	3000047341	ORD051	1000		3000047341
1131101002	2125301001		0000000001	3000047341	SA	42248	42248	42248	42248	17	-1418291,63	USD	3000047341	ORD054	1000		3000047341
1131101002	2125301001		0000000001	3000047341	SA	42248	42248	42248	42248	07	545,13	USD	3000047341	EXT049	1000		3000047341
1131101002	2125301001		0000000001	3000047341	SA	42248	42248	42248	42248	07	553,11	USD	3000047341	ORD001	1000		3000047341
1131101002	2125301001		0000000001	3000047341	SA	42248	42248	42248	42248	07	3361,97	USD	3000047341	ORD014	1000		3000047341
1131101002	2125301001		0000000001	3000047341	SA	42248	42248	42248	42248	07	25500,15	USD	3000047341	ORD051	1000		3000047341
1131101002	2125301001		0000000001	3000047341	SA	42248	42248	42248	42248	07	1418291,63	USD	3000047341	ORD054	1000		3000047341
1131101002	2125301001		0000000001	3000047345	SA	42248	42248	42248	42248	17	-8695,1	USD	3000047345	ORD014	1000		3000047345
1131101002	2125301001		0000000001	3000047345	SA	42248	42248	42248	42248	17	-79617,12	USD	3000047345	ORD051	1000		3000047345
1131101002	2125301001		0000000001	3000047345	SA	42248	42248	42248	42248	17	-706158,63	USD	3000047345	ORD054	1000		3000047345
1131101002	2125301001		0000000001	3000047345	SA	42248	42248	42248	42248	07	8695,1	USD	3000047345	ORD014	1000		3000047345
1131101002	2125301001		0000000001	3000047345	SA	42248	42248	42248	42248	07	79617,12	USD	3000047345	ORD051	1000		3000047345
1131101002	2125301001		0000000001	3000047345	SA	42248	42248	42248	42248	07	706158,63	USD	3000047345	ORD054	1000		3000047345
1131101002	2125301001		0000000001	3000047346	SA	42248	42248	42248	42248	17	-38584,62	USD	3000047346	ORD051	1000		3000047346
1131101002	2125301001		0000000001	3000047346	SA	42248	42248	42248	42248	07	38584,62	USD	3000047346	ORD051	1000		3000047346
1131101002	2125301001		0000000001	3000047347	SA	42248	42248	42248	42248	17	-8045,58	USD	3000047347	ORD014	1000		3000047347
