Nº documento;Fe.contabilización;Hora de entrada
3200012181;21/10/2015;6:59:55
3200011766;13/10/2015;7:03:01
3200011766;13/10/2015;7:03:01
3200006816;16/06/2015;7:13:43
3200012644;29/10/2015;7:16:42
3200012645;29/10/2015;7:17:05
3200011019;23/09/2015;7:17:38
3200007426;30/06/2015;7:18:04
3200009329;13/08/2015;7:21:34
3200006467;27/05/2014;7:24:13
3200006467;27/05/2014;7:24:13
3200006467;27/05/2014;7:24:13
3200006467;27/05/2014;7:24:13
3200006467;27/05/2014;7:24:13
3200015067;18/12/2015;7:25:19
3200006468;27/05/2014;7:28:18
3200006469;27/05/2014;7:29:18
3200000010;07/01/2015;7:30:41
3200006470;27/05/2014;7:30:58
3200006470;27/05/2014;7:30:58
3200006470;27/05/2014;7:30:58
3200006470;27/05/2014;7:30:58
3200006470;27/05/2014;7:30:58
3200000011;07/01/2015;7:32:21
3200006471;27/05/2014;7:32:31
3200006471;27/05/2014;7:32:31
3200013944;27/11/2015;7:34:05
3200000012;07/01/2015;7:34:12
3200013174;12/11/2015;7:34:13
3200006576;28/05/2014;7:35:30
3200006576;28/05/2014;7:35:30
3200006576;28/05/2014;7:35:30
3200006576;28/05/2014;7:35:30
3200006576;28/05/2014;7:35:30
3200006576;28/05/2014;7:35:30
3200006576;28/05/2014;7:35:30
3200006473;27/05/2014;7:35:42
3200006473;27/05/2014;7:35:42
3200006473;27/05/2014;7:35:42
3200000013;07/01/2015;7:35:51
3200000013;07/01/2015;7:35:51
3200013483;18/11/2015;7:36:43
3200013483;18/11/2015;7:36:43
3200013483;18/11/2015;7:36:43
3200012595;28/10/2015;7:36:48
3200006577;28/05/2014;7:36:49
3200006577;28/05/2014;7:36:49
3200006577;28/05/2014;7:36:49
3200006577;28/05/2014;7:36:49
3200006577;28/05/2014;7:36:49
3200011356;29/09/2015;7:36:53
3200011356;29/09/2015;7:36:53
3200013805;25/11/2015;7:37:00
3000019798;12/05/2015;7:37:15
3200002996;18/03/2015;7:37:33
3200002996;18/03/2015;7:37:33
3200002996;18/03/2015;7:37:33
3200002996;18/03/2015;7:37:33
3200006474;27/05/2014;7:37:40
3200006474;27/05/2014;7:37:40
3200006578;28/05/2014;7:37:47
3200006578;28/05/2014;7:37:47
3200015162;22/12/2015;7:38:04
3200014922;16/12/2015;7:38:13
3200011246;28/09/2015;7:38:23
3200005280;12/05/2015;7:38:24
3200008144;16/07/2015;7:38:24
3200012596;28/10/2015;7:38:28
3200006579;28/05/2014;7:38:48
3200008145;16/07/2015;7:38:49
